

DATA_SECURITY, MAIN_DATA_AUTH_DASHBOARD, 管理, null, 数据安全, 安全概览
DATA_SECURITY, DATA_SECURITY_AUTH_STANDARD_MANAGE, 信息项管理, null, 数据安全, 分类信息项
DATA_SECURITY, DATA_SECURITY_AUTH_STANDARD, 信息项查看, null, 数据安全, 分类信息项
DATA_SECURITY, DATA_SECURITY_AUTH_STANDARD_CATALOG_MANAGE, 信息项目录管理, null, 数据安全, 分类信息项
DATA_SECURITY, DATA_SECURITY_AUTH_STANDARD_CATALOG, 信息项目录查看, null, 数据安全, 分类信息项
DATA_SECURITY, DATA_SECURITY_AUTH_STANDARD_UPLOAD, 导入信息项, null, 数据安全, 分类信息项
DATA_SECURITY, DATA_SECURITY_AUTH_STANDARD_DOWNLOAD, 导出信息项, null, 数据安全, 分类信息项
DATA_SECURITY, DATA_SECURITY_CATALOG_MANAGE, 安全分类管理, null, 数据安全, 数据分类
DATA_SECURITY, DATA_SECURITY_CATALOG_ASSETS_EXPORT, 安全分类资产导出, null, 数据安全, 数据分类
DATA_SECURITY, DATA_SECURITY_CATALOG_RE_COMB, 重新梳理, null, 数据安全, 数据分类
DATA_SECURITY, DATA_SECURITY_CATALOG, 安全分类查看, null, 数据安全, 数据分类
DATA_SECURITY, DATA_SECURITY_ASSET_MANAGE, 数据资产管理, null, 数据安全, 数据分类
DATA_SECURITY, DATA_SECURITY_LEVEL_MANAGE, 安全分级管理, null, 数据安全, 数据分级
DATA_SECURITY, DATA_SECURITY_LEVEL, 安全分级查看, null, 数据安全, 数据分级
DATA_SECURITY, DATA_SECURITY_REGULATION_MANAGE, 法规条文管理, null, 数据安全, 法规条文
DATA_SECURITY, DATA_SECURITY_REVIEW_PUBLISH, 评审与发布管理, null, 数据安全, 评审与发布
DATA_SECURITY, DATA_SECURITY_DISCERN_RULE_MANAGE, 识别规则管理, null, 数据安全, 智能分类分级
DATA_SECURITY, DATA_SECURITY_DISCERN_RULE, 识别规则查看, null, 数据安全, 智能分类分级
DATA_SECURITY, DATA_SECURITY_DISCERN_TASK_MANAGE, 识别任务管理, null, 数据安全, 智能分类分级
DATA_SECURITY, DATA_SECURITY_DISCERN_TASK, 识别任务查看, null, 数据安全, 智能分类分级
DATA_SECURITY, DATA_SECURITY_DISCERN_RESULT_MANAGE, 识别结果确认管理, null, 数据安全, 智能分类分级
DATA_SECURITY, DATA_SECURITY_DISCERN_RESULT, 识别结果确认查看, null, 数据安全, 智能分类分级
DATA_SECURITY, DATA_SECURITY_DISCERN_RULE_UPLOAD, 导入识别规则, null, 数据安全, 智能分类分级
DATA_SECURITY, DATA_SECURITY_DISCERN_RULE_DOWNLOAD, 导出识别规则, null, 数据安全, 智能分类分级
DATA_SECURITY, DATA_SECURITY_ASSET_IMPORT, 导入数据资产, null, 数据安全, 协同分类分级
DATA_SECURITY, DATA_SECURITY_ASSET_EXPORT, 导出数据资产, null, 数据安全, 协同分类分级
DATA_SECURITY, DATA_SECURITY_CATALOG_ELEMENT_MANAGE, 协同分类分级管理, null, 数据安全, 协同分类分级
DATA_SECURITY, DATA_SECURITY_STRATEGY_MANAGE, 访问策略管理, null, 数据安全, 访问策略
DATA_SECURITY, DATA_SECURITY_STRATEGY, 访问策略查看, null, 数据安全, 访问策略
DATA_SECURITY, DATA_SECURITY_ACCESS_CATALOG_MANAGE, 访问策略目录管理, null, 数据安全, 访问策略
DATA_SECURITY, DATA_SECURITY_ACCESS_CATALOG_VIEW, 访问策略目录查看, null, 数据安全, 访问策略
//DATA_SECURITY, MAIN_DATA_AUTH_POLICY_RULE_MANAGE, 管理, null, 数据安全, 脱敏函数管理
DATA_SECURITY, MAIN_DATA_AUTH_DESENSITIZATION_STATIC_RULE, 管理, null, 数据安全, 脱敏规则管理
DATA_SECURITY, MAIN_DATA_AUTH_DESENSITIZATION_STATIC_RULE_UPLOAD, 导入脱敏规则, null, 数据安全, 脱敏规则管理
DATA_SECURITY, MAIN_DATA_AUTH_DESENSITIZATION_STATIC_RULE_DOWNLOAD, 导出脱敏规则, null, 数据安全, 脱敏规则管理
//DATA_SECURITY, DATA_SECURITY_POLICY_MANAGE, 安全策略管理, null, 数据安全, 安全策略
//DATA_SECURITY, DATA_SECURITY_WHITE_LIST_MANAGE, 白名单管理, null, 数据安全, 白名单
//DATA_SECURITY, DATA_SECURITY_DATA_REQUISITION, 数据申请单, null, 数据安全, 数据申请单
DATA_SECURITY, DATA_SECURITY_STRUCTURE_MANAGE, 安全分类设计管理, null, 数据安全, 安全分类设计
DATA_SECURITY, DATA_SECURITY_PARAM_SETTING_MANAGE, 参数设置管理, null, 数据安全, 安全参数设置
DATA_SECURITY, DATA_SECURITY_DISCERN_ALGORITHM_MANAGE, 算法库管理, null, 数据安全, 识别算法
DATA_SECURITY, DATA_SECURITY_DISCERN_ALGORITHM, 算法库查看, null, 数据安全, 识别算法
DATA_SECURITY, DATA_SECURITY_DISCERN_CC, 血缘级联算法, null, 数据安全, 识别算法
DATA_SECURITY, DATA_SECURITY_DISCERN_ML, 机器学习算法, null, 数据安全, 识别算法
DATA_SECURITY, DATA_SECURITY_DISCERN_ALGORITHM_CATALOG, 算法目录查看, null, 数据安全, 识别算法
DATA_SECURITY, DATA_SECURITY_DISCERN_ALGORITHM_CATALOG_MANAGE, 算法目录管理, null, 数据安全, 识别算法
DATA_SECURITY, DATA_SECURITY_DISCERN_ALGORITHM_UPLOAD, 导入算法, null, 数据安全, 识别算法
DATA_SECURITY, DATA_SECURITY_DISCERN_ALGORITHM_DOWNLOAD, 导出算法, null, 数据安全, 识别算法

DATA_SECURITY, MAIN_DATA_AUTH_SECURITY_GATEWAY, 管理, null, 安全网关, 安全网关管理
