//每列含义：appName, roleName, roleFriendlyName, roleDescription, roleModule, roleModuleClass

DOMAIN, DICTIONARY_DELETE, 删除词汇, null, 数据标准, 业务术语
DOMAIN, DICTIONARY_EXPORT, 导出词汇, null, 数据标准, 业务术语
DOMAIN, DICTIONARY_IMPORT, 批量导入, null, 数据标准, 业务术语
DOMAIN, DICTIONARY_VIEW, 查看, null, 数据标准, 业务术语
DOMAIN, DICTIONARY_ADD, 添加词汇, null, 数据标准, 业务术语
DOMAIN, DICTIONARY_EDIT, 编辑词汇, null, 数据标准, 业务术语
DOMAIN, BUSI_TERM_PUBLISH, 申请发布, null, 数据标准, 业务术语
DOMAIN, BUSI_TERM_CHANGE, 申请变更, null, 数据标准, 业务术语
DOMAIN, BUSI_TERM_ABOLISH, 申请废弃, null, 数据标准, 业务术语
DOMAIN, BUSI_TERM_VIEW, 管理, null, 数据标准, 业务术语

//DOMAIN, BUSI_TERM_ADD, 新增, null, 数据标准, 业务术语
//DOMAIN, BUSI_TERM_DELETE, 删除, null, 数据标准, 业务术语
//DOMAIN, BUSI_TERM_UPDATE, 修改, null, 数据标准, 业务术语
//DOMAIN, BUSI_TERM_MOVE, 迁移, null, 数据标准, 业务术语
//DOMAIN, BUSI_TERM_EXPORT, 导出, null, 数据标准, 业务术语
//DOMAIN, BUSI_TERM_IMPORT, 导入, null, 数据标准, 业务术语

DOMAIN, DATA_STANDARD_DELETE, 删除, null, 数据标准, 基础标准
DOMAIN, DATA_STANDARD_IMPORT_STANDARDS, 导入标准, null, 数据标准, 基础标准
//DOMAIN, DATA_STANDARD_IMPORT_DIRECT, 导入为已发布, null, 数据标准, 基础标准
DOMAIN, DATA_STANDARD_EXPORT, 导出, null, 数据标准, 基础标准
DOMAIN, DATA_STANDARD_EXPORT_CHECKED, 导出勾选, null, 数据标准, 基础标准
DOMAIN, DATA_STANDARD_EXPAND, 扩展属性, null, 数据标准, 基础标准
DOMAIN, DATA_STANDARD_ADD, 新建, null, 数据标准, 基础标准
DOMAIN, DATA_STANDARD_VIEW, 查看, null, 数据标准, 基础标准
DOMAIN, DATA_STANDARD_VIEW_ALL, 查看未发布标准, null, 数据标准, 基础标准
DOMAIN, DATA_STANDARD_RELEASE, 申请发布, null, 数据标准, 基础标准
DOMAIN, DATA_STANDARD_UPDATA, 申请变更, null, 数据标准, 基础标准
DOMAIN, DATA_STANDARD_SCRAP, 申请废弃, null, 数据标准, 基础标准
DOMAIN, DATA_STANDARD_MOVE, 迁移, null, 数据标准, 基础标准
DOMAIN, DATA_STANDARD_EDIT, 编辑标准, null, 数据标准, 基础标准
DOMAIN, DATA_STANDARD_CATALOG, 目录管理, null, 数据标准, 基础标准
DOMAIN, DOMAIN_RULE_MANAGE, 数据规则管理, null, 数据标准, 基础标准

//DOMAIN, DATA_STANDARD_DIM_DELETE, 删除, null, 数据标准, 指标标准
//DOMAIN, DATA_STANDARD_DIM_IMPORT_STANDARDS, 导入指标, null, 数据标准, 指标标准
//DOMAIN, DATA_STANDARD_DIM_IMPORT_DIRECT, 导入为已发布, null, 数据标准, 指标标准
//DOMAIN, DATA_STANDARD_DIM_EXPORT, 导出, null, 数据标准, 指标标准
//DOMAIN, DATA_STANDARD_DIM_EXPORT_CHECKED, 导出勾选, null, 数据标准, 指标标准
//DOMAIN, DATA_STANDARD_DIM_EXPAND, 扩展属性, null, 数据标准, 指标标准
//DOMAIN, DATA_STANDARD_DIM_ADD, 新建, null, 数据标准, 指标标准
//DOMAIN, DATA_STANDARD_DIM_VIEW, 查看, null, 数据标准, 指标标准
//DOMAIN, DATA_STANDARD_DIM_VIEW_ALL, 查看未发布指标, null, 数据标准, 指标标准
//DOMAIN, DATA_STANDARD_DIM_RELEASE, 申请发布, null, 数据标准, 指标标准
//DOMAIN, DATA_STANDARD_DIM_UPDATA, 申请变更, null, 数据标准, 指标标准
//DOMAIN, DATA_STANDARD_DIM_SCRAP, 申请废弃, null, 数据标准, 指标标准
//DOMAIN, DATA_STANDARD_DIM_EDIT, 编辑指标, null, 数据标准, 指标标准
//DOMAIN, DATA_STANDARD_DIM_CATALOG, 目录管理, null, 数据标准, 指标标准

//DOMAIN, DATA_STANDARD_FIELD_VIEW, 查看, null, 数据标准, 域标准
//DOMAIN, DATA_STANDARD_FIELD_MANAGE, 编辑, null, 数据标准, 域标准
//DOMAIN, DATA_STANDARD_FIELD_CATALOG, 目录管理, null, 数据标准, 域标准

//DOMAIN, INTELLIGENT_VIEW, 管理, null, 数据标准, 智能对标
//DOMAIN, DATA_STANDARD_STATISTICS_VIEW, 管理, null, 数据标准, 查询统计
DOMAIN, STANDARD_CODE_BATCH_EDIT, 修改主题, null, 数据标准, 标准代码
DOMAIN, STANDARD_CODE_DELETE, 删除, null, 数据标准, 标准代码
DOMAIN, STANDARD_CODE_IMPORT_CODE, 导入代码, null, 数据标准, 标准代码
//DOMAIN, STANDARD_CODE_IMPORT_DIRECT, 导入为已发布, null, 数据标准, 标准代码
