DOMAIN, 数据类型, BOOLEAN, 整型
DOMAIN, 数据类型, BYTE, 整型
DOMAIN, 数据类型, SMALL, 整型
DOMAIN, 数据类型, INTEGER, 整型
DOMAIN, 数据类型, LONG, 整型
DOMAIN, 数据类型, HUGE, 整型
DOMAIN, 数据类型, INTERVAL, 整型
DOMAIN, 数据类型, UNIQUEID, 整型
DOMAIN, 数据类型, DECIMAL, 实数
DOMAIN, 数据类型, DOUBLE, 实数
DOMAIN, 数据类型, FLOAT, 实数
DOMAIN, 数据类型, MONEY, 实数
DOMAIN, 数据类型, NUMBER, 实数
DOMAIN, 数据类型, NUMERIC, 实数
DOMAIN, 数据类型, SHORT FLOAT, 实数
DOMAIN, 数据类型, LONG FLOAT, 实数
DOMAIN, 数据类型, AUDIO, 二进制
DOMAIN, 数据类型, BINARY, 二进制
DOMAIN, 数据类型, IMAGE, 二进制
DOMAIN, 数据类型, LARGE BINARY, 二进制
DOMAIN, 数据类型, SECURITY_ID, 二进制
DOMAIN, 数据类型, VIDEO, 二进制
DOMAIN, 数据类型, SPATIAL, 二进制
DOMAIN, 数据类型, DATE, 时间
DOMAIN, 数据类型, TIME, 时间
DOMAIN, 数据类型, VARCHAR, 字符串
DOMAIN, 数据类型, CHAR, 字符串
DOMAIN, 数据类型, NCHAR, 字符串
DOMAIN, 数据类型, NVARCHAR, 字符串
DOMAIN, 数据类型, TEXT, 字符串
DOMAIN, 数据类型, LONG TEXT, 字符串

DOMAIN, 数据类型分类, 整型, NULL
DOMAIN, 数据类型分类, 实数, NULL
DOMAIN, 数据类型分类, 二进制, NULL
DOMAIN, 数据类型分类, 时间, NULL
DOMAIN, 数据类型分类, 字符串, NULL

DOMAIN, 值域类型, 数值, NULL
DOMAIN, 值域类型, 文本, NULL
DOMAIN, 值域类型, 日期, NULL
DOMAIN, 值域类型, 代码, NULL
DOMAIN, 值域类型, 编码, NULL
DOMAIN, 值域类型, 时间, NULL


