//流程名称，流程类型code，流程唯一code

业务术语发布内置, BUSINESS_TERM_PUBLISH, BUSINESS_TERM_PUBLISH_SYSTEM_INIT
业务术语变更内置, BUSINESS_TERM_UPDATE, BUSINESS_TERM_UPDATE_SYSTEM_INIT
业务术语废弃内置, BUSINESS_TERM_ABOLISH, BUSINESS_TERM_ABOLISH_SYSTEM_INIT

数据标准发布内置, DOMAIN_PUBLISH, DOMAIN_PUBLISH_SYSTEM_INIT
数据标准变更内置, DOMAIN_UPDATE, DOMAIN_UPDATE_SYSTEM_INIT
数据标准废弃内置, DOMAIN_ABOLISH, DOMAIN_ABOLISH_SYSTEM_INIT

指标标准发布内置, METRIC_PUBLISH, METRIC_PUBLISH_SYSTEM_INIT
指标标准变更内置, METRIC_UPDATE, METRIC_UPDATE_SYSTEM_INIT
指标标准废弃内置, METRIC_ABOLISH, METRIC_ABOLISH_SYSTEM_INIT

领域数据标准发布内置, TERRITORY_DOMAIN_PUBLISH, TERRITORY_DOMAIN_PUBLISH_SYSTEM_INIT
领域数据标准变更内置, TERRITORY_DOMAIN_UPDATE, TERRITORY_DOMAIN_UPDATE_SYSTEM_INIT
领域数据标准废弃内置, TERRITORY_DOMAIN_ABOLISH, TERRITORY_DOMAIN_ABOLISH_SYSTEM_INIT

标准代码发布内置, STANDARD_PUBLISH, STANDARD_PUBLISH_SYSTEM_INIT
标准代码变更内置, STANDARD_UPDATE, STANDARD_UPDATE_SYSTEM_INIT
标准代码废弃内置, STANDARD_ABOLISH, STANDARD_ABOLISH_SYSTEM_INIT

领域标准代码发布内置, TERRITORY_STANDARD_PUBLISH, TERRITORY_STANDARD_PUBLISH_SYSTEM_INIT
领域标准代码变更内置, TERRITORY_STANDARD_UPDATE, TERRITORY_STANDARD_UPDATE_SYSTEM_INIT
领域标准代码废弃内置, TERRITORY_STANDARD_ABOLISH, TERRITORY_STANDARD_ABOLISH_SYSTEM_INIT

//数据申请内置, DATA_APPLY, DATA_APPLY_SYSTEM_INIT

模型报告内置, MODEL_REPORT, MODEL_REPORT_SYSTEM_INIT

//数据权限申请内置, DATA_AUTH, DATA_AUTH_SYSTEM_INIT

指标权限申请内置, METRIC_AUTH, METRIC_AUTH_SYSTEM_INIT

业务对象发布内置, ARCHY_OBJECT_PUBLISH, ARCHY_OBJECT_PUBLISH_SYSTEM_INIT
业务对象变更内置, ARCHY_OBJECT_UPDATE, ARCHY_OBJECT_UPDATE_SYSTEM_INIT
业务对象废弃内置, ARCHY_OBJECT_ABOLISH, ARCHY_OBJECT_ABOLISH_SYSTEM_INIT


发布目录申请内置, CATALOG_PUBLISH_APPLY, CATALOG_PUBLISH_APPLY_SYSTEM_INIT
下线目录申请内置, CATALOG_OFFLINE_APPLY, CATALOG_OFFLINE_APPLY_SYSTEM_INIT
变更目录申请内置, CATALOG_CHANGE_APPLY, CATALOG_CHANGE_APPLY_SYSTEM_INIT

资产发布申请内置, ASSET_PUBLISH_APPLY, ASSET_PUBLISH_APPLY_SYSTEM_INIT
资产下线申请内置, ASSET_OFFLINE_APPLY, ASSET_OFFLINE_APPLY_SYSTEM_INIT
资产目录权限申请内置, AUTHORITY_APPLY, AUTHORITY_APPLY_SYSTEM_INIT
资产权限申请,ASSET_AUTHORITY_APPLY, ASSET_AUTHORITY_APPLY_SYSTEM_INIT

技术规则内置, TECH_RULE, TECH_RULE_SYSTEM_INIT
业务规则内置, BUSINESS_RULE, BUSINESS_RULE_SYSTEM_INIT

项目版本发布内置, PROJECT_PUBLISH, PROJECT_PUBLISH_INIT
开发需求评审内置, REQUIREMENT_APPLY, REQUIREMENT_APPLY_INIT
开发需求变更评审内置, REQUIREMENT_CHANGE_APPLY, REQUIREMENT_CHANGE_APPLY_INIT
开发需求废弃评审内置, REQUIREMENT_ABOLISH_APPLY, REQUIREMENT_ABOLISH_APPLY_INIT
数据模型评审内置, DATA_MODEL_VERSION, DATA_MODEL_VERSION_INIT

指标发布内置, DDD_METRIC_PUBLISH, DDD_METRIC_PUBLISH_SYSTEM_INIT
指标变更内置, DDD_METRIC_UPDATE, DDD_METRIC_UPDATE_SYSTEM_INIT
指标废弃内置, DDD_METRIC_ABOLISH, DDD_METRIC_ABOLISH_SYSTEM_INIT
