//流程名称，流程类型，流程唯一code，所属服务(多个服务中间横杠'-'分隔)

// 1.DAM产品
// 1.1 DAM微服务
//数据申请, DATA_APPLY, DAM
//数据权限申请, DATA_AUTH, DAM
技术规则, TECH_RULE, DAM
业务规则, BUSINESS_RULE, DAM

// 1.2 DDC微服务
发布目录申请, CATALOG_PUBLISH_APPLY, DATA_ASSET
下线目录申请, CATALOG_OFFLINE_APPLY, DATA_ASSET
变更目录申请, CATALOG_CHANGE_APPLY, DATA_ASSET
资产发布申请, ASSET_PUBLISH_APPLY, DATA_ASSET
资产下线申请, ASSET_OFFLINE_APPLY, DATA_ASSET
资产目录权限申请, AUTHORITY_APPLY, DATA_ASSET
资产权限申请, ASSET_AUTHORITY_APPLY, DATA_ASSET

// 1.3 DOMAIN微服务
业务术语_发布, BUSINESS_TERM_PUBLISH, DOMAIN
业务术语_变更, BUSINESS_TERM_UPDATE, DOMAIN
业务术语_废弃, BUSINESS_TERM_ABOLISH, DOMAIN
数据标准_发布, DOMAIN_PUBLISH, DOMAIN
数据标准_变更, DOMAIN_UPDATE, DOMAIN
数据标准_废弃, DOMAIN_ABOLISH, DOMAIN
标准代码_发布, STANDARD_PUBLISH, DOMAIN
标准代码_变更, STANDARD_UPDATE, DOMAIN
标准代码_废弃, STANDARD_ABOLISH, DOMAIN
领域数据标准_发布, TERRITORY_DOMAIN_PUBLISH, DOMAIN
领域数据标准_变更, TERRITORY_DOMAIN_UPDATE, DOMAIN
领域数据标准_废弃, TERRITORY_DOMAIN_ABOLISH, DOMAIN
领域标准代码_发布, TERRITORY_STANDARD_PUBLISH, DOMAIN
领域标准代码_变更, TERRITORY_STANDARD_UPDATE, DOMAIN
领域标准代码_废弃, TERRITORY_STANDARD_ABOLISH, DOMAIN
指标标准_发布, METRIC_PUBLISH, DOMAIN
指标标准_变更, METRIC_UPDATE, DOMAIN
指标标准_废弃, METRIC_ABOLISH, DOMAIN

// 2.DDM产品
// 2.1 DDM微服务
模型报告, MODEL_REPORT, DDM

// 2.2 ARCHY微服务
业务对象_发布, ARCHY_OBJECT_PUBLISH, ARCHY
业务对象_变更, ARCHY_OBJECT_UPDATE, ARCHY
业务对象_废弃, ARCHY_OBJECT_ABOLISH, ARCHY

// 3.D3产品
// 3.1 DDD微服务
项目版本发布, PROJECT_PUBLISH, DDD
开发需求评审, REQUIREMENT_APPLY, DDD
开发需求变更评审, REQUIREMENT_CHANGE_APPLY, DDD
开发需求废弃评审, REQUIREMENT_ABOLISH_APPLY, DDD
数据模型评审, DATA_MODEL_VERSION, DDD

// 3.2 METRIC微服务
指标发布, DDD_METRIC_PUBLISH, METRIC
指标变更, DDD_METRIC_UPDATE, METRIC
指标废弃, DDD_METRIC_ABOLISH, METRIC
指标权限申请, METRIC_AUTH, METRIC
